"CODICE DELL'EDIFICIO";EDIFICIO;COMUNE;"INDIRIZZO PRINCIPALE";"CODICE DEL PIANO";PIANO;"CODICE DEL LOCALE";LOCALE;NOTE;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1340;Ripostiglio;"Locale in fase di ristrutturazione";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1350;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1360;Deposito;"Locale in fase di ristrutturazione";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1370;"Vano scale";"Vano scale murato";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1380;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1390;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1400;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1410;Biblioteca;"Archivio storico";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1415;Ascensore;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1416;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1420;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1430;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1440;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1450;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1460;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1470;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1480;"Locali in fase di allineazione";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1490;Sala;"Sala Principi d'Acaja";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1500;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1510;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1520;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1530;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1540;Box;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1550;Ingresso;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1560;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1570;Ascensore;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1580;Atrio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1590;Atrio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1600;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1610;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1620;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P00;"Livello terreno";001-A_P00_1630;Portico;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1640;Vuoto;"Sfondato su portico";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1650;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1660;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1665;Ufficio;Ufficio;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1670;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1672;Ripostiglio;Ripostiglio;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1690;Vuoto;"Sfondato su disimpegno";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1700;Vuoto;"Sfondato su disimpegno";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1710;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1720;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1730;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1750;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1760;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1770;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1780;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1790;"Locale ristoro";"locale ristoro";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1800;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1810;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1820;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1830;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1840;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1850;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1860;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1870;"Servizi igienici";"Gabinetto del Rettore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1880;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1890;Archivio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1900;Archivio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1910;"Vano scale";"Gabinetto del Rettore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1920;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1930;"Vano scale";"Scala di rappresentanza";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1940;"Vano scale";"Scala di rappresentanza";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1950;Biblioteca;Balconata;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1951;Vuoto;"Vuoto su Biblioteca";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1952;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1953;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1954;Vuoto;"Vuoto su vano ascensore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1960;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1970;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1975;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1976;"Vano scale";"Vano scale murato";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1977;Ripostiglio;Ripostiglio;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1980;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_1990;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2000;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2010;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2020;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2030;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2040;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2050;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2060;Archivio;"Rivista storica";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2070;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2080;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2090;Ripostiglio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2100;Vuoto;"Vuoto su vano ascensore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P01;"Livello primo";001-A_P01_2110;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2120;Vuoto;"Sfondato su Loggiato";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2130;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2140;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2150;Atrio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2160;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2170;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2180;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2190;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2200;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2210;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2220;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2230;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2240;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2250;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2260;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2270;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2280;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2290;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2300;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2310;Reception;guardiola;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2320;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2330;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2340;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2350;Archivio;"Archivio Ricercatori";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2360;Archivio;"Archivio Docenti";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2370;Ufficio;"Uff. Carriere Docenti";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2380;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2390;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2400;Archivio;"Archivio docenti";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2410;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2420;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2430;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2440;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2450;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2460;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2470;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2480;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2490;Corridoio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2500;"Locale ristoro";"locale ristoro";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2510;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2520;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2530;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2540;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2550;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2560;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2565;Terrazzo;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2570;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2580;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2590;Atrio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2600;Vuoto;"Vuoto su vano ascensore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2610;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2620;Archivio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2630;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2640;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2650;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2660;Ufficio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2670;Archivio;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2680;"Servizi igienici";"Divisione Gestione Risorse Umane - Area Personale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2690;Locale;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2691;Balcone;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2700;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2710;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2711;Biblioteca;Balconata;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2712;Ascensore;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2713;Vuoto;"Vuoto su Biblioteca";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2714;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2720;"Vano scale";"Scala di rappresentanza";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2730;Magazzino;"magazzino toghe";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2740;Vuoto;"Vuoto su vano ascensore";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2750;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2752;"Vano scale";"Scale a chiocciola";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2760;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2770;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2780;Disimpegno;;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P02;"Livello secondo";001-A_P02_2790;"Vano scale";"Scala di rappresentanza";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2800;Portico;Loggiato;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2810;"Vano scale";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2820;Vuoto;"Vuoto su vano scale";
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2830;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2840;"Servizi igienici";;
001-A;Rettorato;Torino;"Via Verdi 8";001-A_P03;"Livello terzo";001-A_P03_2850;Vuoto;;
